short_question,short_answer,tags,label
can an antibiotic through an iv give you a rash a couple days later,yes it can even after you have finished the prescription for antibiotics,['rash' 'antibiotic'],1
can you test positive from having the hep b vaccine,test positive for what if you had a hep b vaccine a subsequent blood test should indicate that you now have hep b antibodies present in your blood if this is what you mean,['hepatitis b'],1
what are the dietary restrictions for celiac disease gluten,omitting gluten from the diet is the key to controlling celiac disease in patients with celiac disease strict dietary gluten elimination will heal the small intestine over time weeks to months it is imperative that your diet remains gluten free any gluten in your diet will cause the damage to your intestine to reoccur learning to follow a gluten free diet can be very daunting but with time you will see that there are many options available,['celiac disease'],1
can i transmit genital warts seventeen years after having them removed,famotidine pepcid products is in a drug class called h2 blockers omeprazole prilosec belongs to the proton pump inhibitors these medications work two different ways to decrease acid production and flare ups with stomach issues both medications can be found over the counter famotidine is typically taken 1 to 2 times daily while omeprazole is taken once daily may be dosed differently than recommended in over the counter packaging label by prescriber it is also important to keep in mind that since they are two different medications the side effect profile will be different,['wart'],-1
is all vitamin d the same,hi this means you do not have hepatitis b and that you are immune to hepatitis b so i recommend checking for hepatitis c since alt is high also have gall bladder ultrasound good luck,['vitamin d'],-1
i am a disabled veteran on medicare am i affected by the affordable care act,the risk of developing epilepsy increases if you have family history of epilepsy head injury for example a penetrating wound or skull fracture with loss of consciousness or amnesia for more than 24 hours the more severe the injury the higher the risk stroke or conditions that affect the blood vessels vascular system in the brain brain tumor brain infection such as encephalitis or meningitis lead poisoning problems with brain development that occurred before birth substance abuse fever seizures that last a long time also known as febrile convulsions alzheimer is disease epilepsy may develop even though you do not have any risk factors this is especially true of many forms of childhood epilepsy webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information © 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated,[''],-1
can taking multiple antibiotics cause redness and dryness of vagina,this is a fun question and i am glad you asked first of all let me set your mind at ease on one point soy milk does not contain estrogen the benefits of soy in easing menopausal symptoms in women is still debated but that does not mean it contains estrogen it does not in asia soy is widely consumed by both sexes and i do not think asian men have worse man boobs than other men men and women both produce estrogen and testosterone as men age they produce less testosterone which may allow estrogen to play a more dominant role which can lead to man boobs in women aging reduces estrogen production which may allow their natural testosterone to play a more dominant role and they may get mustaches i ask you which is less fair but to your question almond milk should not have any estrogenic effects so drink away assuming you are not allergic to almonds at least hope this helps,['antibiotics'],-1
had a stroke on the brain in 2012 its 2016 i cant get no more than 5 hours of sleep a day,if you are 40 and generally healthy you have about a 50 chance of developing serious atherosclerosis in your lifetime the risk goes up as you get older the majority of adults older than 60 have some atherosclerosis but often do not have noticeable symptoms there is good news rates of death from atherosclerosis have fallen by 25 since 30 years ago this is thanks to both better lifestyles and improved treatments,['had a stroke on the brain'],-1
i have had a pneumonia shot can i get either a sinus infection or walking pneumonia from my 6 year old grand daughter  and can i be a carrier to others in my age group,you can always catch an illness from a child but most of these are viral like colds your pneumonia shot only protects you from certain types of bacterial pneumonia pneumococcus it would not protect you at all from viruses any respiratory virus can cause pneumonia or sinusitis if you are prone to these types of infections,['pneumonia' 'sinus infection' 'walking'],1
ekg says there was “moderate right axis deviation ” “normal sinus rhythm with marked sinus arrythmia ”,the reason that you may feel stressed is most probably because you are no longer happy with yourself developing a healthy safe image is important in attaining the self fulfillment that you need you may visit clear clinic to pamper your skin and revive you spirit,"['moderate right axis deviation'
 'normal sinus rhythm with marked sinus arrythmia']",-1
